Crop,Precipitation,Temperature,Humidity,Area,Yield
1,218.3,26.45,75.58,2,4420
1,439.1,26.78,77.36,2,4090
1,220,26.81,76.14,2,5440
1,117.7,26.74,75.49,2,5090
1,669,26.45,79.09,2,5610
1,377.6,26.74,77.88,2,5220
1,348.7,26.29,77.66,2,5820
1,754.4,26.05,81.7,2,5830
1,193.2,27.1,76.79,2,5640
1,837.8,26.01,80.22,2,6670
1,517.1,26.53,80.22,2,6340
1,588,26.92,78.83,2,6600
1,297.3,26.16,77.18,2,7240
1,388.5,26.48,77.32,2,7280
1,335.9,27.35,76.55,2,6770
1,703.6,26.54,80.89,2,7200
1,534.8,26.47,79.3,2,7370
1,425.8,27.2,77.23,2,7460
1,171.6,27.08,75.11,2,7670
1,470.5,26.37,78.1,2,7730
2,877.5,27.8,80.17,2,4430
2,1189,27.38,82.32,2,4450
2,1022.5,27.42,81.84,2,4611
2,850.5,27.64,81.11,2,4711
2,1290,27.07,83.75,2,4415
2,1143,27.26,83.31,2,4210
2,1170.1,26.93,83.5,2,4716
2,1074.6,27.38,83.38,2,4610
2,974.9,28.08,80.94,2,5013
2,1002.5,27.1,83.33,2,5480
2,985.9,27.27,83.02,2,5315
2,1211.4,27.3,83.77,2,5416
2,1002,27.73,82.08,2,5512
2,767.3,28.01,79.31,2,5740
2,835.4,28.13,80.4,2,5760
2,1158.6,27.42,83.62,2,5614
2,895.1,27.53,81.89,2,5800
2,1025.1,28.01,80.77,2,5870
2,907.6,28.05,80.39,2,5820
2,1091,27.57,82.39,2,5930
3,1573.6,27.11,83,2,3680
3,1962.3,26.77,84.52,2,3980
3,1509.1,26.88,83.26,2,4190
3,1568.3,26.99,83.74,2,4520
3,1801.4,26.74,84.68,2,4490
3,1822.1,26.63,84.65,2,4650
3,1859.6,26.52,85,2,4510
3,1543.4,26.93,84.13,2,4620
3,2151.9,27.15,84.21,2,4760
3,1552.1,26.94,84,2,4820
3,1735,26.82,84.57,2,5000
3,1665.4,26.86,84.29,2,5040
3,1716.6,27.14,84.19,2,5030
3,1601.2,27.42,82.5,2,4360
3,1725.5,27.27,84.22,2,4180
3,1870.6,27.06,84.69,2,4760
3,1658.9,27.13,83.52,2,4810
3,1515.3,27.35,83.1,2,4940
3,1697.6,27.36,82.95,2,5600
3,2035.4,27.09,84.14,2,6090
1,176.2,26.38,75.01,3,5050
1,394.6,26.76,78.44,3,5110
1,176.5,26.55,76.89,3,5240
1,102.2,26.67,75.76,3,5530
1,547.9,26.26,80.56,3,5380
1,310.8,26.61,78.89,3,5010
1,326.6,26.18,78.51,3,5910
1,615.3,25.9,83.23,3,5860
1,189.6,26.96,78.76,3,6250
1,717.2,25.86,81.53,3,6390
1,524.3,26.42,81.4,3,6550
1,515.1,26.82,79.59,3,6600
1,249.1,26.04,78.37,3,6800
1,284.4,26.35,78.29,3,6850
1,259.6,27.25,77.09,3,6240
1,632.6,26.36,82.41,3,6450
1,459.8,26.38,80.05,3,6460
1,368.6,27.03,78.4,3,6520
1,139.7,26.97,75.57,3,6480
1,405.6,26.24,79.54,3,6790
2,750.9,27.58,81.53,3,4530
2,1223.7,27.14,84.16,3,4430
2,993.1,27.21,83.47,3,4680
2,835.4,27.43,82.64,3,4950
2,1187.3,26.82,85.63,3,4710
2,1163.1,27.03,85.28,3,5030
2,1236.3,26.66,85.67,3,5110
2,1070.8,27.07,85.58,3,5040
2,992,27.97,82.31,3,5290
2,1077.3,26.87,85.21,3,5890
2,994.6,27,84.9,3,6060
2,1229.7,27.04,85.95,3,5620
2,1055.5,27.51,83.94,3,5990
2,738.6,27.88,80.58,3,5630
2,854.5,27.94,82,3,5640
2,1140.2,27.16,85.7,3,5630
2,892.7,27.29,83.53,3,5610
2,1002.3,27.74,82.75,3,5610
2,945.5,27.89,82.2,3,5240
2,1019.1,27.3,84.65,3,5750
3,1452.1,26.84,85.04,3,3750
3,2014.5,26.49,86.72,3,3610
3,1478.4,26.62,85.34,3,3660
3,1562.5,26.71,86.03,3,3770
3,1715.5,26.48,86.72,3,3890
3,1783.5,26.35,86.96,3,3830
3,1885.6,26.22,87.42,3,4270
3,1609,26.6,86.48,3,4330
3,2153.2,26.95,86.29,3,4550
3,1666.9,26.66,86.15,3,4390
3,1671.5,26.55,86.5,3,4790
3,1628.1,26.59,86.6,3,5030
3,1657.9,26.86,86.42,3,5010
3,1544.6,27.22,84.27,3,5100
3,1773.3,27.01,86.3,3,4880
3,1828.9,26.77,87.06,3,5120
3,1546.1,26.83,85.83,3,5130
3,1454.8,27.06,85.23,3,5010
3,1748.6,27.13,85.32,3,5120
3,1891.7,26.78,86.64,3,5050
1,167.4,26.92,73.22,4,6130
1,138.1,27.06,72.07,4,6390
1,612.7,26.35,78.46,4,6210
1,398.6,26.67,76.89,4,5270
1,365.3,26.5,75.06,4,6160
1,669,25.84,81.31,4,6300
1,190.9,27.3,74.02,4,6510
1,820,25.76,80.97,4,6700
1,605.6,26.39,79.99,4,7110
1,562.3,26.96,77.39,4,7110
1,371.1,26.09,76.02,4,7520
1,347.4,26.57,75.43,4,7730
1,262.1,27.6,73.47,4,7000
1,811.2,26.25,82.21,4,6820
1,538.4,26.31,79.37,4,7310
1,396.4,27.25,75.67,4,7340
1,189.3,27.14,73.18,4,7660
1,415.1,26.33,76.9,4,7820
2,1023.1,27.23,82.86,4,3870
2,1000.3,27.37,82.47,4,3940
2,1335.6,26.59,86.21,4,3780
2,1221.6,26.9,85.28,4,4070
2,1282.4,26.59,85.49,4,4260
2,1059.7,26.98,85.52,4,4360
2,1080.5,27.92,81.74,4,4290
2,1182.7,26.7,85.73,4,4410
2,1022.6,26.85,85.26,4,4590
2,1355.6,26.86,86.33,4,4720
2,1206.6,27.27,84.71,4,4870
2,849.9,27.85,79.87,4,5310
2,950.5,28.04,80.59,4,5500
2,1313.9,26.91,86.42,4,5670
2,1058.3,27.17,83.64,4,5800
2,1123,27.63,82.93,4,5810
2,1067.1,27.78,81.81,4,5800
2,1124.1,27.12,85.01,4,6000
1,117.1,27.14,68.27,5,6360
1,340.1,27.03,73.79,5,6110
1,179.3,26.84,71.3,5,6800
1,111.8,27,70.5,5,6970
1,531,26.36,77.63,5,6690
1,346.7,26.74,75.07,5,6800
1,344,26.44,74.08,5,6850
1,614.4,25.97,78.93,5,6730
1,214,27.16,72.95,5,7060
1,722.9,25.82,79.89,5,7160
1,531.8,26.45,78.7,5,7290
1,490.1,27.01,76.14,5,7240
1,304,26.15,74.59,5,7340
1,314.4,26.51,74.04,5,7390
1,250.8,27.52,72.17,5,7100
1,789.4,26.33,82.15,5,6520
1,507.1,26.41,78.76,5,7160
1,359.6,27.21,75.04,5,6960
1,156.7,27.12,72.99,5,7220
1,382.5,26.33,75.36,5,7450
2,689.2,27.84,78.7,5,3860
2,1063.6,27.24,81.54,5,3830
2,938.1,27.26,81.74,5,4090
2,902.3,27.41,81.19,5,4200
2,1153.1,26.72,85.19,5,4090
2,1103.1,27.01,84.49,5,4360
2,1148.1,26.65,84.65,5,4510
2,974.9,27.01,84.52,5,4480
2,909.7,28.02,81.15,5,4700
2,1036.8,26.76,84.98,5,4810
2,915.7,26.88,84.45,5,4840
2,1233.5,26.94,85.44,5,4930
2,1067.2,27.38,83.81,5,5000
2,699.3,27.97,78.96,5,5070
2,833.8,28.02,79.71,5,5100
2,1142.9,26.98,86.03,5,5370
2,940.9,27.23,83.21,5,5400
2,989.3,27.67,82.41,5,5570
2,965.5,27.85,81.84,5,5710
2,1035.6,27.18,84.32,5,5780
1,222.5,26.88,75.54,6,5300
1,393.6,27.51,76.4,6,5260
1,216.2,27.2,75.71,6,5680
1,186.3,27.21,75.31,6,5990
1,493.9,27.06,77.67,6,5950
1,372.3,27.25,76.7,6,5930
1,453.6,26.94,76.33,6,6710
1,523.4,26.9,77.24,6,6700
1,242.7,27.52,76.66,6,6660
1,471,26.77,76.88,6,6950
1,495.4,27.29,77.18,6,7060
1,500,27.5,77.71,6,6910
1,308.6,26.74,75.15,6,7220
1,366.7,27,76.37,6,7240
1,270.2,27.73,76.85,6,6150
1,750.8,27.33,78.28,6,6020
1,582.5,27.01,77.86,6,7070
1,418.7,27.67,77.09,6,6880
1,247.2,27.47,75.89,6,7320
1,371.5,27.06,75.99,6,7620
2,1398.5,27.92,81.51,6,3960
2,1511.9,27.79,81.87,6,3720
2,1635.8,27.7,82.38,6,4190
2,1444.3,27.73,82.42,6,4280
2,1870.9,27.48,82.89,6,3680
2,1708.2,27.68,82.55,6,4620
2,1559.4,27.33,82.76,6,4800
2,1381.5,27.68,83.02,6,4610
2,1189.5,28.14,81.88,6,4610
2,1235.8,27.44,82.83,6,4990
2,1264.2,27.59,82.75,6,5290
2,1674.7,27.71,82.82,6,5230
2,1056.1,27.97,81.9,6,5310
2,1000.7,28,81.25,6,5350
2,1172.2,28.2,81.71,6,5440
2,1778.6,27.81,82.74,6,5460
2,1622.5,27.7,82.33,6,5130
2,1345.1,28.2,81.76,6,5380
2,1160.2,28.21,80.94,6,5580
2,1353.5,27.92,81.78,6,5590
3,2191.6,27.55,82.11,7,2480
3,2534,27.32,82.7,7,2930
3,2152.1,27.37,81.88,7,3510
3,2144.3,27.41,82.67,7,3520
3,2574.4,27.28,82.86,7,3010
3,2625.2,27.25,82.42,7,3400
3,2295.5,27.09,83.04,7,3930
3,2256.9,27.41,82.69,7,3820
3,2133.4,27.57,82.37,7,3810
3,1892.4,27.34,82.93,7,3710
3,2168.9,27.26,83.33,7,4270
3,2163.5,27.33,82.76,7,4290
3,1656.9,27.6,82.18,7,4490
3,1715.6,27.7,82.28,7,4500
3,2292.6,27.58,83.47,7,1790
3,2546.8,27.6,82.75,7,2880
3,2421.7,27.51,82.45,7,4550
3,1978.7,27.76,81.79,7,4980
3,2169.5,27.78,81.62,7,5140
3,2264.7,27.64,82.32,7,4550
